[[1633098600, 0.22],
[1633185000, 0.23],
[1633267800, 0.23],
[1633354200, 0.23],
[1633440600, 0.23],
[1633527000, 0.23],
[1633613400, 0.23],
[1633699800, 0.23],
[1633786200, 0.23],
[1633872600, 0.23],
[1633959000, 0.22],
[1634045400, 0.24],
[1634131800, 0.21],
[1634218200, 0.21],
[1634304600, 0.21],
[1634391000, 0.21],
[1634477400, 0.21],
[1634563800, 0.21],
[1634650200, 0.21],
[1634736600, 0.21],
[1634823000, 0.2],
[1634909400, 0.21],
[1634995800, 0.2],
[1635082200, 0.2],
[1635168600, 0.2],
[1635255000, 0.2],
[1635341400, 0.2],
[1635427800, 0.2],
[1635514200, 0.2],
[1635600600, 0.21],
[1635687000, 0.2],
[1635859800, 0.2],
[1636119000, 0.2],
[1636291800, 0.2],
[1636464600, 0.2],
[1636637400, 0.2],
[1636983000, 0.2],
[1637242200, 0.2],
[1637328600, 0.2],
[1637415000, 0.2],
[1637501400, 0.21],
[1637587800, 0.21],
[1637674200, 0.21],
[1637760600, 0.21],
[1637847000, 0.22],
[1637933400, 0.22],
[1638019800, 0.23],
[1638106200, 0.23],
[1638192600, 0.22],
[1638279000, 0.2],
[1638365400, 0.21],
[1638451800, 0.22],
[1638538200, 0.21],
[1638624600, 0.21],
[1638711000, 0.2],
[1638797400, 0.23],
[1638883800, 0.22],
[1638970200, 0.22],
[1639056600, 0.22],
[1639143000, 0.24],
[1639229400, 0.25],
[1639315800, 0.24],
[1639402200, 0.24],
[1639488600, 0.24],
[1639575000, 0.24],
[1639661400, 0.24],
[1639747800, 0.24],
[1639834200, 0.24],
[1639920600, 0.24],
[1640007000, 0.25],
[1640093400, 0.24],
[1640179800, 0.25],
[1640266200, 0.24],
[1640352600, 0.24],
[1640439000, 0.25],
[1640525400, 0.25],
[1640611800, 0.26],
[1640698200, 0.26],
[1640784600, 0.26],
[1640871000, 0.24],
[1640957400, 0.24],
[1641043800, 0.23],
[1641130200, 0.24],
[1641216600, 0.23],
[1641303000, 0.23],
[1641389400, 0.23],
[1641475800, 0.22],
[1641562200, 0.21],
[1641648600, 0.21],
[1641735000, 0.21],
[1641821400, 0.22],
[1641907800, 0.21],
[1641994200, 0.21],
[1642080600, 0.2],
[1642167000, 0.2],
[1642253400, 0.2],
[1642339800, 0.2],
[1642426200, 0.2],
[1642512600, 0.21],
[1642599000, 0.22],
[1642685400, 0.22],
[1642771800, 0.23],
[1642858200, 0.24],
[1642944600, 0.24],
[1643031000, 0.25],
[1643117400, 0.24],
[1643203800, 0.26],
[1643290200, 0.26],
[1643376600, 0.27],
[1643463000, 0.25],
[1643549400, 0.26],
[1643635800, 0.26],
[1643722200, 0.26],
[1643808600, 0.24],
[1643895000, 0.24],
[1643981400, 0.23],
[1644067800, 0.24],
[1644154200, 0.26],
[1644240600, 0.24],
[1644327000, 0.25],
[1644413400, 0.24],
[1644499800, 0.26],
[1644586200, 0.25],
[1644672600, 0.28],
[1644759000, 0.26],
[1644845400, 0.28],
[1644931800, 0.26],
[1645018200, 0.26],
[1645104600, 0.26],
[1645191000, 0.26],
[1645277400, 0.26],
[1645363800, 0.26],
[1645450200, 0.27],
[1645536600, 0.26],
[1645623000, 0.25],
[1645709400, 0.26],
[1645795800, 0.25],
[1645882200, 0.25],
[1645968600, 0.25],
[1646055000, 0.25],
[1646141400, 0.25],
[1646400600, 0.25],
[1646487000, 0.25],
[1646659800, 0.24],
[1646746200, 0.25],
[1646832600, 0.24],
[1647005400, 0.25],
[1647091800, 0.25],
[1647178200, 0.25],
[1647437400, 0.25],
[1647523800, 0.25],
[1647696600, 0.24],
[1647783000, 0.24],
[1647869400, 0.25],
[1648042200, 0.25],
[1648128600, 0.25],
[1648301400, 0.25],
[1648474200, 0.25],
[1648733400, 0.26],
[1648906200, 0.26],
[1649169000, 0.25],
[1649255400, 0.25],
[1649341800, 0.26],
[1649514600, 0.25],
[1649601000, 0.25],
[1649687400, 0.25],
[1649773800, 0.25],
[1649860200, 0.25],
[1649946600, 0.26],
[1650033000, 0.26],
[1650119400, 0.26],
[1650205800, 0.26],
[1650292200, 0.26],
[1650378600, 0.26],
[1650465000, 0.25],
[1650551400, 0.25],
[1650637800, 0.25],
[1650724200, 0.25],
[1650810600, 0.25],
[1650897000, 0.25],
[1650983400, 0.24],
[1651069800, 0.24],
[1651156200, 0.24],
[1651242600, 0.25],
[1651329000, 0.25],
[1651415400, 0.25],
[1651501800, 0.25],
[1651588200, 0.25],
[1651674600, 0.25],
[1651761000, 0.24],
[1651847400, 0.25],
[1651933800, 0.25],
[1652020200, 0.25],
[1652106600, 0.24],
[1652193000, 0.24],
[1652279400, 0.23],
[1652365800, 0.23],
[1652970600, 0.22],
[1653057000, 0.22],
[1653143400, 0.22],
[1653229800, 0.22],
[1653316200, 0.23],
[1653402600, 0.23],
[1653489000, 0.22],
[1653575400, 0.22],
[1653661800, 0.22],
[1653748200, 0.22],
[1653834600, 0.22],
[1653921000, 0.22],
[1654007400, 0.22],
[1654093800, 0.22],
[1654180200, 0.23],
[1654266600, 0.23],
[1654353000, 0.23],
[1654439400, 0.23],
[1654525800, 0.23],
[1654612200, 0.23],
[1654698600, 0.22],
[1654785000, 0.21],
[1654871400, 0.21],
[1654957800, 0.21],
[1655044200, 0.21],
[1655130600, 0.21],
[1655217000, 0.21],
[1655303400, 0.21],
[1655389800, 0.21],
[1655476200, 0.22],
[1655562600, 0.21],
[1655649000, 0.21],
[1655735400, 0.22],
[1655821800, 0.22],
[1655908200, 0.22],
[1655994600, 0.22],
[1656081000, 0.22],
[1656167400, 0.22],
[1656253800, 0.22],
[1656340200, 0.22],
[1656426600, 0.22],
[1656513000, 0.21],
[1656599400, 0.22],
[1656685800, 0.22],
[1656772200, 0.22],
[1656858600, 0.22],
[1656945000, 0.22],
[1657031400, 0.22],
[1657117800, 0.23],
[1657290600, 0.23],
[1657377000, 0.22],
[1657463400, 0.22],
[1657549800, 0.22],
[1657636200, 0.23],
[1657722600, 0.21],
[1657809000, 0.22],
[1657895400, 0.22],
[1657981800, 0.22],
[1658068200, 0.21],
[1658154600, 0.21],
[1658241000, 0.21],
[1658327400, 0.21],
[1658413800, 0.2],
[1658673000, 0.21],
[1658759400, 0.21],
[1658845800, 0.21],
[1658932200, 0.21],
[1659018600, 0.21],
[1659105000, 0.22],
[1659191400, 0.21],
[1659277800, 0.21],
[1659364200, 0.21],
[1659450600, 0.21],
[1659537000, 0.22],
[1659623400, 0.22],
[1659709800, 0.22],
[1659796200, 0.22],
[1659882600, 0.21],
[1659969000, 0.22],
[1660055400, 0.21],
[1660228200, 0.22],
[1660314600, 0.22],
[1660401000, 0.22],
[1660487400, 0.22],
[1660573800, 0.22],
[1660660200, 0.22],
[1660746600, 0.22],
[1660833000, 0.23],
[1660919400, 0.23],
[1661005800, 0.23],
[1661178600, 0.22],
[1661265000, 0.23],
[1661351400, 0.23],
[1661437800, 0.23],
[1661524200, 0.24],
[1661610600, 0.24],
[1661697000, 0.24],
[1661783400, 0.25],
[1661869800, 0.25],
[1661956200, 0.26],
[1662042600, 0.25],
[1662129000, 0.25],
[1662215400, 0.25],
[1662301800, 0.25],
[1662561000, 0.26],
[1662647400, 0.26],
[1662733800, 0.27],
[1662820200, 0.27],
[1662906600, 0.27],
[1662993000, 0.26],
[1663079400, 0.25],
[1663165800, 0.24],
[1663252200, 0.24],
[1663338600, 0.23],
[1663425000, 0.24],
[1663511400, 0.23],
[1663597800, 0.24],
[1663684200, 0.23],
[1663770600, 0.24],
[1663857000, 0.24],
[1663943400, 0.24],
[1664029800, 0.24],
[1664116200, 0.24],
[1664202600, 0.25],
[1664289000, 0.23],
[1664375400, 0.23],
[1664461800, 0.24],
[1664548200, 0.24],
[1664634600, 0.26],
[1664717400, 0.25],
[1664803800, 0.26],
[1664890200, 0.26],
[1664976600, 0.27],
[1665063000, 0.26],
[1665149400, 0.26],
[1665235800, 0.26],
[1665322200, 0.25],
[1665408600, 0.25],
[1665495000, 0.25],
[1665581400, 0.25],
[1665667800, 0.25],
[1665754200, 0.24],
[1665840600, 0.24],
[1665927000, 0.25],
[1666013400, 0.25],
[1666099800, 0.24],
[1666186200, 0.24],
[1666272600, 0.24],
[1666359000, 0.24],
[1666445400, 0.24],
[1666531800, 0.25],
[1666618200, 0.25],
[1666704600, 0.25],
[1666791000, 0.26],
[1666877400, 0.25],
[1666963800, 0.25],
[1667050200, 0.25],
[1667136600, 0.25],
[1667223000, 0.25],
[1667309400, 0.25],
[1667395800, 0.25],
[1667482200, 0.25],
[1667568600, 0.25],
[1667655000, 0.25],
[1667741400, 0.25],
[1667827800, 0.25],
[1667914200, 0.24],
[1668000600, 0.24],
[1668087000, 0.25],
[1668173400, 0.25],
[1668259800, 0.25],
[1668346200, 0.25],
[1668432600, 0.25],
[1668519000, 0.25],
[1668605400, 0.24],
[1668691800, 0.25],
[1668778200, 0.25],
[1668864600, 0.25],
[1668951000, 0.25],
[1669037400, 0.25],
[1669123800, 0.25],
