[1633098600, 0.0243],
[1633185000, 0.0243],
[1633267800, 0.0267],
[1633354200, 0.0297],
[1633440600, 0.0297],
[1633527000, 0.0271],
[1633613400, 0.0271],
[1633699800, 0.0271],
[1633786200, 0.0302],
[1633872600, 0.0269],
[1633959000, 0.0269],
[1634045400, 0.0271],
[1634131800, 0.0243],
[1634218200, 0.0267],
[1634304600, 0.03],
[1634391000, 0.0305],
[1634477400, 0.0294],
[1634563800, 0.0274],
[1634650200, 0.0274],
[1634736600, 0.0325],
[1634823000, 0.0305],
[1634909400, 0.03],
[1634995800, 0.03],
[1635082200, 0.03],
[1635168600, 0.03],
[1635255000, 0.03],
[1635341400, 0.03],
[1635427800, 0.032],
[1635514200, 0.03],
[1635600600, 0.03],
[1635687000, 0.0343],
[1635773400, 0.0313],
[1635859800, 0.0343],
[1635946200, 0.0343],
[1636032600, 0.0343],
[1636119000, 0.0313],
[1636205400, 0.0313],
[1636291800, 0.0343],
[1636464600, 0.0269],
[1636551000, 0.03],
[1636637400, 0.0337],
[1636896600, 0.0385],
[1636983000, 0.041],
[1637069400, 0.038],
[1637155800, 0.041],
[1637242200, 0.041],
[1637328600, 0.0356],
[1637415000, 0.038],
[1637501400, 0.038],
[1637587800, 0.038],
[1637674200, 0.0377],
[1637760600, 0.038],
[1637847000, 0.0356],
[1637933400, 0.038],
[1638019800, 0.038],
[1638106200, 0.038],
[1638192600, 0.038],
[1638279000, 0.04],
[1638365400, 0.038],
[1638451800, 0.041],
[1638538200, 0.0443],
[1638624600, 0.0399],
[1638711000, 0.0385],
[1638797400, 0.0385],
[1638883800, 0.0385],
[1638970200, 0.0385],
[1639056600, 0.0337],
[1639143000, 0.0348],
[1639229400, 0.0368],
[1639315800, 0.033],
[1639402200, 0.0313],
[1639488600, 0.0313],
[1639575000, 0.0313],
[1639661400, 0.0343],
[1639747800, 0.038],
[1639834200, 0.038],
[1639920600, 0.038],
[1640007000, 0.038],
[1640093400, 0.038],
[1640179800, 0.04],
[1640266200, 0.043],
[1640352600, 0.0377],
[1640439000, 0.0394],
[1640525400, 0.0381],
[1640611800, 0.0405],
[1640698200, 0.0377],
[1640784600, 0.0374],
[1640871000, 0.0374],
[1640957400, 0.0374],
[1641043800, 0.0374],
[1641130200, 0.0408],
[1641216600, 0.0408],
[1641303000, 0.0408],
[1641389400, 0.0334],
[1641475800, 0.0364],
[1641562200, 0.0364],
[1641648600, 0.0364],
[1641735000, 0.0364],
[1641821400, 0.0374],
[1641907800, 0.0334],
[1641994200, 0.0334],
[1642080600, 0.0267],
[1642167000, 0.0267],
[1642253400, 0.031],
[1642339800, 0.0297],
[1642426200, 0.0403],
[1642512600, 0.0334],
[1642599000, 0.0384],
[1642685400, 0.042],
[1642771800, 0.0334],
[1642858200, 0.0289],
[1642944600, 0.0317],
[1643031000, 0.0267],
[1643117400, 0.0334],
[1643203800, 0.0334],
[1643290200, 0.0337],
[1643376600, 0.0334],
[1643463000, 0.0334],
[1643549400, 0.0387],
[1643635800, 0.0387],
