[[1635341400, 0.72],
[1635427800, 0.7],
[1635514200, 0.68],
[1635600600, 0.7],
[1635687000, 0.66],
[1635773400, 0.67],
[1635859800, 0.7],
[1635946200, 0.68],
[1636032600, 0.7],
[1636119000, 0.68],
[1636205400, 0.65],
[1636291800, 0.68],
[1636378200, 0.69],
[1636464600, 0.69],
[1636551000, 0.64],
[1636637400, 0.68],
[1636723800, 0.68],
[1636810200, 0.68],
[1636896600, 0.64],
[1636983000, 0.65],
[1637069400, 0.65],
[1637155800, 0.65],
[1637242200, 0.64],
[1637328600, 0.63],
[1637415000, 0.63],
[1637501400, 0.63],
[1637587800, 0.62],
[1637674200, 0.63],
[1637760600, 0.61],
[1637847000, 0.61],
[1637933400, 0.6],
[1638019800, 0.59],
[1638106200, 0.55],
[1638192600, 0.57],
[1638279000, 0.53],
[1638365400, 0.53],
[1638451800, 0.52],
[1638538200, 0.54],
[1638624600, 0.54],
[1638711000, 0.56],
[1638797400, 0.57],
[1638883800, 0.58],
[1638970200, 0.61],
[1639056600, 0.62],
[1639143000, 0.6],
[1639229400, 0.57],
[1639315800, 0.59],
[1639402200, 0.59],
[1639488600, 0.61],
[1639575000, 0.61],
[1639661400, 0.59],
[1639747800, 0.63],
[1639834200, 0.63],
[1639920600, 0.65],
[1640007000, 0.65],
[1640093400, 0.64],
[1640179800, 0.63],
[1640266200, 0.63],
[1640352600, 0.63],
[1640439000, 0.66],
[1640525400, 0.65],
[1640611800, 0.62],
[1640698200, 0.65],
[1640784600, 0.63],
[1640871000, 0.63],
[1640957400, 0.62],
[1641043800, 0.64],
[1641130200, 0.62],
[1641216600, 0.63],
[1641303000, 0.66],
[1641389400, 0.66],
[1641475800, 0.65],
[1641562200, 0.65],
[1641648600, 0.65],
[1641735000, 0.65],
[1641821400, 0.66],
[1641907800, 0.65],
[1641994200, 0.66],
[1642080600, 0.69],
[1642167000, 0.65],
[1642253400, 0.65],
[1642339800, 0.67],
[1642426200, 0.67],
[1642512600, 0.68],
[1642599000, 0.68],
[1642685400, 0.61],
[1642771800, 0.62],
[1642858200, 0.6],
[1642944600, 0.58],
[1643031000, 0.59],
[1643117400, 0.58],
[1643203800, 0.57],
[1643290200, 0.56],
[1643376600, 0.54],
[1643463000, 0.55],
[1643549400, 0.53],
[1643635800, 0.53],
[1643722200, 0.53],
[1643808600, 0.57],
[1643895000, 0.56],
[1643981400, 0.56],
[1644067800, 0.56],
[1644154200, 0.57],
[1644240600, 0.57],
[1644327000, 0.57],
[1644413400, 0.58],
[1644499800, 0.58],
[1644586200, 0.57],
[1644672600, 0.56],
[1644759000, 0.6],
[1644845400, 0.62],
[1644931800, 0.61],
[1645018200, 0.65],
[1645104600, 0.66],
[1645191000, 0.65],
[1645277400, 0.64],
[1645363800, 0.65],
[1645450200, 0.65],
[1645536600, 0.64],
[1645623000, 0.6],
[1645709400, 0.61],
[1645795800, 0.6],
[1645882200, 0.57],
[1645968600, 0.59],
[1646055000, 0.56],
[1646141400, 0.54],
[1646227800, 0.56],
[1646314200, 0.58],
[1646400600, 0.58],
[1646487000, 0.58],
[1646573400, 0.59],
[1646659800, 0.57],
[1646746200, 0.54],
[1646832600, 0.55],
[1646919000, 0.55],
[1647005400, 0.6],
[1647091800, 0.56],
[1647178200, 0.6],
[1647264600, 0.6],
[1647351000, 0.6],
[1647437400, 0.61],
[1647523800, 0.6],
[1647610200, 0.61],
[1647696600, 0.62],
[1647783000, 0.61],
[1647869400, 0.63],
[1647955800, 0.62],
[1648042200, 0.66],
[1648128600, 0.67],
[1648215000, 0.66],
[1648301400, 0.68],
[1648387800, 0.68],
[1648474200, 0.68],
[1648560600, 0.67],
[1648647000, 0.71],
[1648733400, 0.69],
[1648819800, 0.62],
[1648906200, 0.65],
[1648996200, 0.66],
[1649082600, 0.64],
[1649169000, 0.65],
[1649255400, 0.63],
[1649341800, 0.64],
[1649428200, 0.65],
[1649514600, 0.65],
[1649601000, 0.65],
[1649687400, 0.63],
[1649773800, 0.66],
[1649860200, 0.66],
[1649946600, 0.63],
[1650033000, 0.64],
[1650119400, 0.64],
[1650205800, 0.63],
[1650292200, 0.63],
[1650378600, 0.63],
[1650465000, 0.64],
[1650551400, 0.64],
[1650637800, 0.64],
[1650724200, 0.6],
[1650810600, 0.6],
[1650897000, 0.61],
[1650983400, 0.6],
[1651069800, 0.61],
[1651156200, 0.62],
[1651242600, 0.61],
[1651329000, 0.6],
[1651415400, 0.6],
[1651501800, 0.6],
[1651588200, 0.61],
[1651674600, 0.59],
[1651761000, 0.58],
[1651847400, 0.61],
[1651933800, 0.61],
[1652020200, 0.6],
[1652106600, 0.61],
[1652193000, 0.63],
[1652279400, 0.64],
[1652365800, 0.64],
[1652452200, 0.62],
[1652538600, 0.63],
[1652625000, 0.63],
[1652711400, 0.64],
[1652797800, 0.64],
[1652884200, 0.64],
[1652970600, 0.69],
[1653057000, 0.7],
[1653143400, 0.74],
[1653229800, 0.75],
[1653316200, 0.74],
[1653402600, 0.77],
[1653489000, 0.81],
[1653575400, 0.79],
[1653661800, 0.76],
[1653748200, 0.73],
[1653834600, 0.78],
[1653921000, 0.78],
[1654007400, 0.72],
[1654093800, 0.75],
[1654180200, 0.72],
[1654266600, 0.69],
[1654353000, 0.67],
[1654439400, 0.67],
[1654525800, 0.65],
[1654612200, 0.65],
[1654698600, 0.65],
[1654785000, 0.66],
[1654871400, 0.67],
[1654957800, 0.67],
[1655044200, 0.68],
[1655130600, 0.67],
[1655217000, 0.69],
[1655303400, 0.67],
[1655389800, 0.64],
[1655476200, 0.62],
[1655562600, 0.63],
[1655649000, 0.65],
[1655735400, 0.63],
[1655821800, 0.62],
[1655908200, 0.63],
[1655994600, 0.64],
[1656081000, 0.6],
[1656167400, 0.61],
[1656253800, 0.6],
[1656340200, 0.63],
[1656426600, 0.61],
[1656513000, 0.62],
[1656599400, 0.62],
[1656685800, 0.68],
[1656772200, 0.74],
[1656858600, 0.71],
[1656945000, 0.72],
[1657031400, 0.7],
[1657117800, 0.7],
[1657204200, 0.7],
[1657290600, 0.7],
[1657377000, 0.69],
[1657463400, 0.69],
[1657549800, 0.71],
[1657636200, 0.71],
[1657722600, 0.69],
[1657809000, 0.65],
[1657895400, 0.63],
[1657981800, 0.65],
[1658068200, 0.65],
[1658154600, 0.66],
[1658241000, 0.66],
[1658327400, 0.64],
[1658413800, 0.67],
[1658500200, 0.66],
[1658586600, 0.66],
[1658673000, 0.67],
[1658759400, 0.67],
[1658845800, 0.66],
[1658932200, 0.66],
[1659018600, 0.66],
[1659105000, 0.67],
[1659191400, 0.64],
[1659277800, 0.63],
[1659364200, 0.62],
[1659450600, 0.62],
[1659537000, 0.65],
[1659623400, 0.64],
[1659709800, 0.64],
[1659796200, 0.69],
[1659882600, 0.7],
[1659969000, 0.67],
[1660055400, 0.64],
[1660141800, 0.66],
[1660228200, 0.64],
[1660314600, 0.64],
[1660401000, 0.64],
[1660487400, 0.64],
[1660573800, 0.64],
[1660660200, 0.6],
[1660746600, 0.59],
[1660833000, 0.61],
[1660919400, 0.6],
[1661005800, 0.59],
[1661092200, 0.6],
[1661178600, 0.59],
[1661265000, 0.59],
[1661351400, 0.58],
[1661437800, 0.59],
[1661524200, 0.58],
[1661610600, 0.58],
[1661697000, 0.58],
[1661783400, 0.59],
[1661869800, 0.57],
[1661956200, 0.55],
[1662042600, 0.59],
[1662129000, 0.57],
[1662215400, 0.58],
[1662301800, 0.58],
[1662388200, 0.58],
[1662474600, 0.57],
[1662561000, 0.59],
[1662647400, 0.59],
[1662733800, 0.6],
[1662820200, 0.59],
[1662906600, 0.58],
[1662993000, 0.59],
[1663079400, 0.61],
[1663165800, 0.6],
[1663252200, 0.62],
[1663338600, 0.64],
[1663425000, 0.64],
[1663511400, 0.67],
[1663597800, 0.63],
[1663684200, 0.64],
[1663770600, 0.64],
[1663857000, 0.63],
[1663943400, 0.63],
[1664029800, 0.64],
[1664116200, 0.63],
[1664202600, 0.65],
[1664289000, 0.65],
[1664375400, 0.68],
[1664461800, 0.67],
[1664548200, 0.68],
[1664634600, 0.67],
[1664717400, 0.67],
[1664803800, 0.67],
[1664890200, 0.66],
[1664976600, 0.68],
[1665063000, 0.66],
[1665149400, 0.66],
[1665235800, 0.67],
[1665322200, 0.66],
[1665408600, 0.67],
[1665495000, 0.69],
[1665581400, 0.64],
[1665667800, 0.64],
[1665754200, 0.6],
[1665840600, 0.62],
[1665927000, 0.62],
[1666013400, 0.61],
[1666099800, 0.61],
[1666186200, 0.6],
[1666272600, 0.62],
[1666359000, 0.64],
[1666445400, 0.6],
[1666531800, 0.59],
[1666618200, 0.6],
[1666704600, 0.61],
[1666791000, 0.61],
[1666877400, 0.61],
[1666963800, 0.64],
[1667050200, 0.61],
[1667136600, 0.62],
[1667223000, 0.63],
[1667309400, 0.63],
[1667395800, 0.64],
[1667482200, 0.63],
[1667568600, 0.64],
[1667655000, 0.65],
[1667741400, 0.63],
[1667827800, 0.67],
[1667914200, 0.68],
[1668000600, 0.72],
[1668087000, 0.72],
[1668173400, 0.73],
[1668259800, 0.75],
[1668346200, 0.76],
[1668432600, 0.74],
[1668519000, 0.73],
[1668605400, 0.74],
[1668691800, 0.75],
[1668778200, 0.76],
[1668864600, 0.74],
[1668951000, 0.76],
[1669037400, 0.77],
[1669123800, 0.7],
[1669210200, 0.72],
[1669296600, 0.71],
[1669383000, 0.71],
[1669469400, 0.74],
[1669555800, 0.74],
[1669642200, 0.72],
[1669728600, 0.78],
[1669815000, 0.75],
[1669901400, 0.74],
[1669987800, 0.73],
[1670074200, 0.71],
[1670160600, 0.69],
[1670247000, 0.73],
[1670333400, 0.71],
[1670419800, 0.69],
[1670506200, 0.71],
[1670592600, 0.71],
[1670679000, 0.76],
[1670765400, 0.7],
[1670851800, 0.71],
[1670938200, 0.71],
[1671024600, 0.7],
[1671111000, 0.66],
[1671197400, 0.69],
[1671283800, 0.72],
[1671370200, 0.7],
[1671456600, 0.68],
[1671543000, 0.69],
[1671629400, 0.71],
[1671715800, 0.66],
[1671802200, 0.64],
[1671888600, 0.66],
[1671975000, 0.66],
[1672061400, 0.64],
[1672147800, 0.64],
[1672234200, 0.62],
[1672320600, 0.62],
[1672407000, 0.65],
[1672493400, 0.63],
[1672579800, 0.64],
[1672666200, 0.63],
[1672752600, 0.65],
[1672839000, 0.62],
[1672925400, 0.57],
[1673011800, 0.65],
[1673098200, 0.66],
[1673184600, 0.68],
[1673271000, 0.71],
[1673357400, 0.73],
[1673443800, 0.74],
[1673530200, 0.73],
[1673616600, 0.73],
[1673703000, 0.71],
[1673789400, 0.74],
[1673875800, 0.76],
[1673962200, 0.74],
[1674048600, 0.77],
[1674135000, 0.78],
[1674221400, 0.77],
[1674307800, 0.75],
[1674394200, 0.75],
[1674480600, 0.74],
[1674567000, 0.74],
[1674653400, 0.74],
[1674739800, 0.73],
[1674826200, 0.74],
[1674912600, 0.73],
[1674999000, 0.75],
[1675085400, 0.78],
[1675171800, 0.79],
[1675258200, 0.82],
[1675344600, 0.81],
[1675431000, 0.79],
[1675517400, 0.77],
[1675603800, 0.79],
[1675690200, 0.77],
[1675776600, 0.77],
[1675863000, 0.75],
[1675949400, 0.77],
[1676035800, 0.74],
[1676122200, 0.71],
[1676208600, 0.67],
[1676295000, 0.66],
[1676381400, 0.64],
[1676467800, 0.63],
[1676554200, 0.65],
[1676640600, 0.62],
[1676727000, 0.62]]
