[[1604237400, 0.0626],
[1604323800, 0.0626],
[1604410200, 0.0626],
[1604496600, 0.0626],
[1604583000, 0.0631],
[1604669400, 0.0631],
[1604755800, 0.0631],
[1604842200, 0.0631],
[1604928600, 0.0626],
[1605015000, 0.0626],
[1605101400, 0.0626],
[1605187800, 0.0626],
[1605274200, 0.0626],
[1605360600, 0.0626],
[1605447000, 0.0705],
[1605533400, 0.0626],
[1605619800, 0.0629],
[1605706200, 0.0709],
[1605792600, 0.0631],
[1605879000, 0.0631],
[1605965400, 0.0631],
[1606051800, 0.0631],
[1606138200, 0.0631],
[1606224600, 0.0631],
[1606311000, 0.0631],
[1606397400, 0.0709],
[1606483800, 0.0709],
[1606570200, 0.0709],
[1606656600, 0.0709],
[1606743000, 0.0709],
[1606829400, 0.0709],
[1606915800, 0.0719],
[1607002200, 0.0709],
[1607088600, 0.0719],
[1607175000, 0.0719],
[1607261400, 0.0719],
[1607347800, 0.0719],
[1607434200, 0.0719],
[1607520600, 0.0719],
[1607607000, 0.0719],
[1607693400, 0.0739],
[1607779800, 0.0709],
[1607866200, 0.0709],
[1607952600, 0.0709],
[1608039000, 0.0709],
[1608125400, 0.0709],
[1608211800, 0.0709],
[1608298200, 0.0709],
[1608384600, 0.0709],
[1608471000, 0.0709],
[1608557400, 0.0709],
[1608643800, 0.0709],
[1608730200, 0.0709],
[1608816600, 0.0709],
[1608903000, 0.0631],
[1608989400, 0.0709],
[1609075800, 0.0631],
[1609162200, 0.0709],
[1609248600, 0.0631],
[1609335000, 0.0709],
[1609421400, 0.0709],
[1609507800, 0.0709],
[1609594200, 0.0709],
[1609680600, 0.0709],
[1609767000, 0.0747],
[1609853400, 0.0747],
[1609939800, 0.0733],
[1610026200, 0.0733],
[1610112600, 0.0655],
[1610199000, 0.0655],
[1610285400, 0.0655],
[1610371800, 0.0655],
[1610458200, 0.0655],
[1610544600, 0.0655],
[1610631000, 0.0655],
[1610717400, 0.0655],
[1610803800, 0.0655],
[1610890200, 0.0655],
[1610976600, 0.0655],
[1611063000, 0.0655],
[1611149400, 0.0655],
[1611235800, 0.0655],
[1611322200, 0.0655],
[1611408600, 0.0655],
[1611495000, 0.0655],
