[1633098600, 0.056],
[1633185000, 0.056],
[1633267800, 0.0561],
[1633354200, 0.0561],
[1633440600, 0.0561],
[1633527000, 0.0561],
[1633613400, 0.0561],
[1633699800, 0.056],
[1633786200, 0.0558],
[1633872600, 0.0558],
[1633959000, 0.0558],
[1634045400, 0.0556],
[1634131800, 0.0556],
[1634218200, 0.0518],
[1634304600, 0.0561],
[1634391000, 0.0558],
[1634477400, 0.0556],
[1634563800, 0.0551],
[1634650200, 0.0518],
[1634736600, 0.0518],
[1634823000, 0.0311],
[1634909400, 0.0311],
[1634995800, 0.0518],
[1635082200, 0.0518],
[1635168600, 0.0518],
[1635255000, 0.0518],
[1635341400, 0.0518],
[1635427800, 0.0475],
[1635514200, 0.0517],
[1635600600, 0.0517],
[1635687000, 0.0515],
[1635773400, 0.056],
[1635859800, 0.0518],
[1635946200, 0.0518],
[1636032600, 0.052],
[1636119000, 0.0515],
[1636205400, 0.0513],
[1636291800, 0.0555],
[1636464600, 0.0555],
[1636551000, 0.0556],
[1636637400, 0.0555],
[1636896600, 0.0555],
[1636983000, 0.0593],
[1637069400, 0.0593],
[1637155800, 0.0636],
[1637242200, 0.0596],
[1637328600, 0.0556],
[1637415000, 0.0515],
[1637501400, 0.0268],
[1637587800, 0.0267],
[1637674200, 0.0517],
[1637760600, 0.0513],
[1637847000, 0.0265],
[1637933400, 0.0268],
[1638019800, 0.0267],
[1638106200, 0.0308],
[1638192600, 0.0267],
[1638279000, 0.0311],
[1638365400, 0.031],
[1638451800, 0.0311],
[1638538200, 0.0313],
[1638624600, 0.027],
[1638711000, 0.0313],
[1638797400, 0.0272],
[1638883800, 0.0315],
[1638970200, 0.0273],
[1639056600, 0.0272],
[1639143000, 0.027],
[1639229400, 0.027],
[1639315800, 0.0268],
[1639402200, 0.0272],
[1639488600, 0.027],
[1639575000, 0.027],
[1639661400, 0.027],
[1639747800, 0.027],
[1639834200, 0.0311],
[1639920600, 0.0353],
[1640007000, 0.0311],
[1640093400, 0.0311],
[1640179800, 0.0313],
[1640266200, 0.0311],
[1640352600, 0.031],
[1640439000, 0.0518],
[1640525400, 0.0311],
[1640611800, 0.0311],
[1640698200, 0.0311],
[1640784600, 0.031],
[1640871000, 0.0517],
[1640957400, 0.0515],
[1641043800, 0.031],
[1641130200, 0.0515],
[1641216600, 0.0308],
[1641303000, 0.0308],
[1641389400, 0.0306],
[1641475800, 0.0308],
[1641562200, 0.0306],
[1641648600, 0.0303],
[1641735000, 0.0301],
[1641821400, 0.0306],
[1641907800, 0.0303],
[1641994200, 0.0306],
[1642080600, 0.051],
[1642167000, 0.0305],
[1642253400, 0.031],
[1642339800, 0.031],
[1642426200, 0.0308],
[1642512600, 0.0225],
[1642599000, 0.0308],
[1642685400, 0.0305],
[1642771800, 0.0263],
[1642858200, 0.0305],
[1642944600, 0.0308],
[1643031000, 0.0268],
[1643117400, 0.0263],
[1643203800, 0.0262],
[1643290200, 0.0306],
[1643376600, 0.0305],
[1643463000, 0.0346],
[1643549400, 0.0306],
[1643635800, 0.0306],
[1643722200, 0.0306],
[1643808600, 0.0349],
[1643895000, 0.0351],
[1643981400, 0.031],
[1644067800, 0.0353],
[1644154200, 0.0351],
[1644240600, 0.0351],
[1644327000, 0.0351],
[1644413400, 0.0353],
[1644499800, 0.0351],
[1644586200, 0.031],
[1644672600, 0.027],
[1644759000, 0.027],
[1644845400, 0.031],
[1644931800, 0.031],
[1645018200, 0.031],
[1645104600, 0.0351],
[1645191000, 0.0353],
[1645277400, 0.0353],
[1645363800, 0.0351],
[1645450200, 0.0351],
[1645536600, 0.0351],
[1645623000, 0.0558],
[1645709400, 0.056],
[1645795800, 0.056],
[1645882200, 0.056],
[1645968600, 0.0561],
[1646055000, 0.0563],
[1646141400, 0.0315],
[1646227800, 0.0315],
[1646314200, 0.0315],
[1646400600, 0.0315],
[1646487000, 0.0315],
[1646573400, 0.0313],
[1646659800, 0.0311],
[1646746200, 0.0353],
[1646832600, 0.0356],
[1646919000, 0.0354],
[1647005400, 0.0354],
[1647091800, 0.0315],
[1647178200, 0.0313],
[1647264600, 0.0311],
[1647351000, 0.0353],
[1647437400, 0.0356],
[1647523800, 0.0313],
[1647610200, 0.0315],
[1647696600, 0.0313],
[1647783000, 0.0272],
[1647869400, 0.0311],
[1647955800, 0.027],
[1648042200, 0.0272],
[1648128600, 0.0313],
[1648215000, 0.0315],
[1648301400, 0.0273],
[1648387800, 0.0273],
[1648474200, 0.0272],
[1648560600, 0.0315],
[1648647000, 0.0313],
[1648733400, 0.0311],
[1648819800, 0.0353],
[1648906200, 0.0601],
[1648996200, 0.0603],
[1649082600, 0.0599],
[1649169000, 0.0391],
[1649255400, 0.0349],
[1649341800, 0.0354],
[1649514600, 0.0396],
[1649601000, 0.0396],
[1649687400, 0.0396],
[1649773800, 0.0396],
[1649860200, 0.0396],
[1649946600, 0.0394],
[1650033000, 0.0354],
[1650119400, 0.0354],
[1650205800, 0.0354],
[1650292200, 0.0354],
[1650378600, 0.0396],
[1650465000, 0.0397],
[1650551400, 0.0397],
[1650637800, 0.0397],
[1650724200, 0.0313],
[1650810600, 0.0354],
[1650897000, 0.0396],
[1650983400, 0.0397],
[1651069800, 0.0397],
[1651156200, 0.0397],
[1651242600, 0.0396],
[1651329000, 0.0397],
