[1598970600.0, 6.5061838960000005],
[1599057000.0, 6.5061838960000005],
[1599143400.0, 6.5061838960000005],
[1599229800.0, 6.5061838960000005],
[1599316200.0, 6.5061838960000005],
[1599402600.0, 6.5061838960000005],
[1599489000.0, 6.5061838960000005],
[1599575400.0, 6.5061838960000005],
[1599661800.0, 6.5061838960000005],
[1599748200.0, 6.5061838960000005],
[1599834600.0, 6.5061838960000005],
[1599921000.0, 6.5061838960000005],
[1600007400.0, 6.5061838960000005],
[1600093800.0, 6.5061838960000005],
[1600180200.0, 6.5061838960000005],
[1600266600.0, 6.5061838960000005],
[1600353000.0, 6.5061838960000005],
[1600439400.0, 6.5061838960000005],
[1600525800.0, 6.5061838960000005],
[1600612200.0, 6.5061838960000005],
[1600698600.0, 6.5061838960000005],
[1600785000.0, 6.5061838960000005],
[1600871400.0, 6.5061838960000005],
[1600957800.0, 6.5061838960000005],
[1601044200.0, 6.5061838960000005],
[1601130600.0, 6.5061838960000005],
[1601217000.0, 6.5061838960000005],
[1601303400.0, 6.5061838960000005],
[1601389800.0, 6.5061838960000005],
[1601476200.0, 6.5061838960000005],
[1601562600.0, 6.5061838960000005],
[1601649000.0, 6.5061838960000005],
[1601735400.0, 6.5061838960000005],
[1601818200.0, 6.5061838960000005],
[1601904600.0, 6.5061838960000005],
[1601991000.0, 6.5061838960000005],
[1602077400.0, 6.5061838960000005],
[1602163800.0, 6.5061838960000005],
[1602250200.0, 6.5061838960000005],
[1602336600.0, 6.5061838960000005],
[1602423000.0, 6.5061838960000005],
[1602509400.0, 6.5061838960000005],
[1602595800.0, 6.5061838960000005],
[1602682200.0, 6.5061838960000005],
[1602768600.0, 6.5061838960000005],
[1602855000.0, 6.5061838960000005],
[1602941400.0, 6.5061838960000005],
[1603027800.0, 6.5061838960000005],
[1603114200.0, 6.5061838960000005],
[1603200600.0, 6.5061838960000005],
[1603287000.0, 6.5061838960000005],
[1603373400.0, 6.5061838960000005],
[1603459800.0, 6.5061838960000005],
[1603546200.0, 6.5061838960000005],
[1603632600.0, 6.5061838960000005],
[1603719000.0, 6.5061838960000005],
[1603805400.0, 6.5061838960000005],
[1603891800.0, 6.5061838960000005],
[1603978200.0, 6.5061838960000005],
[1604064600.0, 6.5061838960000005],
[1604151000.0, 6.5061838960000005],
[1604237400.0, 6.5061838960000005],
[1604323800.0, 6.5061838960000005],
[1604410200.0, 6.5061838960000005],
[1604496600.0, 6.5061838960000005],
[1604583000.0, 6.5061838960000005],
[1604669400.0, 6.5061838960000005],
[1604755800.0, 6.5061838960000005],
[1604842200.0, 6.5061838960000005],
[1604928600.0, 6.5061838960000005],
[1605015000.0, 6.5061838960000005],
[1605101400.0, 6.5061838960000005],
[1605187800.0, 6.5061838960000005],
[1605274200.0, 6.5061838960000005],
[1605360600.0, 6.5061838960000005],
[1605447000.0, 6.5061838960000005],
[1605533400.0, 6.5061838960000005],
[1605619800.0, 6.5061838960000005],
[1605706200.0, 6.5061838960000005],
[1605792600.0, 6.5061838960000005],
[1605879000.0, 6.5061838960000005],
[1605965400.0, 6.5061838960000005],
[1606051800.0, 6.5061838960000005],
[1606138200.0, 6.5061838960000005],
[1606224600.0, 6.5061838960000005],
[1606311000.0, 6.5061838960000005],
[1606397400.0, 6.5061838960000005],
[1606483800.0, 6.5061838960000005],
[1606570200.0, 6.5061838960000005],
[1606656600.0, 6.5061838960000005],
[1606743000.0, 6.5061838960000005],
[1606829400.0, 6.5061838960000005],
[1606915800.0, 6.5061838960000005],
[1607002200.0, 6.5061838960000005],
[1607088600.0, 6.5061838960000005],
[1607175000.0, 6.5061838960000005],
[1607261400.0, 6.5061838960000005],
[1607347800.0, 6.5061838960000005],
[1607434200.0, 6.5061838960000005],
[1607520600.0, 6.5061838960000005],
[1607607000.0, 6.5061838960000005],
[1607693400.0, 6.5061838960000005],
[1607779800.0, 6.5061838960000005],
[1607866200.0, 6.5061838960000005],
[1607952600.0, 6.5061838960000005],
[1608039000.0, 6.5061838960000005],
[1608125400.0, 6.5061838960000005],
[1608211800.0, 6.5061838960000005],
[1608298200.0, 6.5061838960000005],
[1608384600.0, 6.5061838960000005],
[1608471000.0, 6.5061838960000005],
[1608557400.0, 6.5061838960000005],
[1608643800.0, 6.5061838960000005],
[1608730200.0, 6.5061838960000005],
[1608816600.0, 6.5061838960000005],
[1608903000.0, 6.5061838960000005],
[1608989400.0, 6.5061838960000005],
[1609075800.0, 6.5061838960000005],
[1609162200.0, 6.5061838960000005],
[1609248600.0, 6.5061838960000005],
[1609335000.0, 6.5061838960000005],
[1609421400.0, 6.5061838960000005],
[1609507800.0, 6.5061838960000005],
[1609594200.0, 6.5061838960000005],
[1609680600.0, 6.5061838960000005],
[1609767000.0, 6.5061838960000005],
[1609853400.0, 6.5061838960000005],
[1609939800.0, 6.5061838960000005],
[1610026200.0, 6.5061838960000005],
[1610112600.0, 6.5061838960000005],
[1610199000.0, 6.5061838960000005],
[1610285400.0, 6.5061838960000005],
[1610371800.0, 6.5061838960000005],
[1610458200.0, 6.5061838960000005],
[1610544600.0, 6.5061838960000005],
[1610631000.0, 6.5061838960000005],
[1610717400.0, 6.5061838960000005],
[1610803800.0, 6.5061838960000005],
[1610890200.0, 6.5061838960000005],
[1610976600.0, 6.5061838960000005],
[1611063000.0, 6.5061838960000005],
[1611149400.0, 6.5061838960000005],
[1611235800.0, 6.5061838960000005],
[1611322200.0, 6.5061838960000005],
[1611408600.0, 6.5061838960000005],
[1611495000.0, 6.5061838960000005],
[1611581400.0, 6.5061838960000005],
[1611667800.0, 6.5061838960000005],
[1611754200.0, 6.5061838960000005],
[1611840600.0, 6.5061838960000005],
[1611927000.0, 6.5061838960000005],
[1612013400.0, 6.5061838960000005],
[1612099800.0, 6.5061838960000005],
[1612186200.0, 6.5061838960000005],
[1612272600.0, 6.5061838960000005],
[1612359000.0, 6.5061838960000005],
[1612445400.0, 6.5061838960000005],
[1612531800.0, 6.5061838960000005],
[1612618200.0, 6.5061838960000005],
[1612704600.0, 6.5061838960000005],
[1612791000.0, 6.5061838960000005],
[1612877400.0, 6.5061838960000005],
[1612963800.0, 6.5061838960000005],
[1613050200.0, 6.5061838960000005],
[1613136600.0, 6.5061838960000005],
[1613223000.0, 6.5061838960000005],
[1613309400.0, 6.5061838960000005],
[1613395800.0, 6.5061838960000005],
[1613482200.0, 6.5061838960000005],
[1613568600.0, 6.5061838960000005],
[1613655000.0, 6.5061838960000005],
[1613741400.0, 6.5061838960000005],
[1613827800.0, 6.5061838960000005],
[1613914200.0, 6.5061838960000005],
[1614000600.0, 6.5061838960000005],
[1614087000.0, 6.5061838960000005],
[1614173400.0, 6.5061838960000005],
[1614259800.0, 6.5061838960000005],
[1614346200.0, 6.5061838960000005],
[1614432600.0, 6.5061838960000005],
[1614519000.0, 6.5061838960000005],
[1614605400.0, 6.5061838960000005],
[1614691800.0, 6.5061838960000005],
[1614778200.0, 6.5061838960000005],
[1614864600.0, 6.5061838960000005],
[1614951000.0, 6.5061838960000005],
[1615037400.0, 6.5061838960000005],
[1615123800.0, 6.5061838960000005],
[1615210200.0, 6.5061838960000005],
[1615296600.0, 6.5061838960000005],
[1615383000.0, 6.5061838960000005],
[1615469400.0, 6.5061838960000005],
[1615555800.0, 6.5061838960000005],
[1615642200.0, 6.5061838960000005],
[1615728600.0, 6.5061838960000005],
[1615815000.0, 6.5061838960000005],
[1615901400.0, 6.5061838960000005],
[1615987800.0, 6.5061838960000005],
[1616074200.0, 6.5061838960000005],
[1616160600.0, 6.5061838960000005],
[1616247000.0, 6.5061838960000005],
[1616333400.0, 6.5061838960000005],
[1616419800.0, 6.5061838960000005],
[1616506200.0, 6.5061838960000005],
[1616592600.0, 6.5061838960000005],
[1616679000.0, 6.5061838960000005],
[1616765400.0, 6.5061838960000005],
[1616851800.0, 6.5061838960000005],
[1616938200.0, 6.5061838960000005],
[1617024600.0, 6.5061838960000005],
[1617111000.0, 6.5061838960000005],
[1617197400.0, 6.5061838960000005],
[1617283800.0, 6.5061838960000005],
[1617370200.0, 6.5061838960000005],
[1617456600.0, 6.5061838960000005],
[1617546600.0, 6.5061838960000005],
[1617633000.0, 6.5061838960000005],
[1617719400.0, 6.5061838960000005],
[1617805800.0, 6.5061838960000005],
[1617892200.0, 6.5061838960000005],
[1617978600.0, 6.5061838960000005],
[1618065000.0, 6.5061838960000005],
[1618151400.0, 6.5061838960000005],
[1618237800.0, 6.5061838960000005],
[1618324200.0, 6.5061838960000005],
[1618410600.0, 6.5061838960000005],
[1618497000.0, 6.5061838960000005],
[1618583400.0, 6.5061838960000005],
[1618669800.0, 6.5061838960000005],
[1618756200.0, 6.5061838960000005],
[1618842600.0, 6.5061838960000005],
[1618929000.0, 6.5061838960000005],
[1619015400.0, 6.5061838960000005],
[1619101800.0, 6.5061838960000005],
[1619188200.0, 6.5061838960000005],
[1619274600.0, 6.5061838960000005],
[1619361000.0, 6.5061838960000005],
[1619447400.0, 6.5061838960000005],
[1619533800.0, 6.5061838960000005],
[1619620200.0, 6.5061838960000005],
[1619706600.0, 6.5061838960000005],
[1619793000.0, 6.5061838960000005],
[1619879400.0, 6.5061838960000005],
[1619965800.0, 6.5061838960000005],
[1620052200.0, 6.5061838960000005],
[1620138600.0, 6.5061838960000005],
[1620225000.0, 6.5061838960000005],
[1620311400.0, 6.5061838960000005],
[1620397800.0, 6.5061838960000005],
[1620484200.0, 6.5061838960000005],
[1620570600.0, 6.5061838960000005],
[1620657000.0, 6.5061838960000005],
[1620743400.0, 6.5061838960000005],
[1620829800.0, 6.5061838960000005],
[1620916200.0, 6.5061838960000005],
[1621002600.0, 6.5061838960000005],
[1621089000.0, 6.5061838960000005],
[1621175400.0, 6.5061838960000005],
[1621261800.0, 6.5061838960000005],
[1621348200.0, 6.5061838960000005],
[1621434600.0, 6.5061838960000005],
[1621521000.0, 6.5061838960000005],
[1621607400.0, 6.5061838960000005],
[1621693800.0, 6.5061838960000005],
[1621780200.0, 6.5061838960000005],
[1621866600.0, 6.5061838960000005],
[1621953000.0, 6.5061838960000005],
[1622039400.0, 6.5061838960000005],
[1622125800.0, 6.5061838960000005],
[1622212200.0, 6.5061838960000005],
[1622298600.0, 6.5061838960000005],
[1622385000.0, 6.5061838960000005],
[1622471400.0, 6.5061838960000005],
[1622557800.0, 6.5061838960000005],
[1622644200.0, 6.5061838960000005],
[1622730600.0, 6.5061838960000005],
[1622817000.0, 6.5061838960000005],
[1622903400.0, 6.5061838960000005],
[1622989800.0, 6.5061838960000005],
[1623076200.0, 6.5061838960000005],
[1623162600.0, 6.5061838960000005],
[1623249000.0, 6.5061838960000005],
[1623335400.0, 6.5061838960000005],
[1623421800.0, 6.5061838960000005],
[1623508200.0, 6.5061838960000005],
[1623594600.0, 6.5061838960000005],
[1623681000.0, 6.5061838960000005],
[1623767400.0, 6.5061838960000005],
[1623853800.0, 6.5061838960000005],
[1623940200.0, 6.5061838960000005],
[1624026600.0, 6.5061838960000005],
[1624113000.0, 6.5061838960000005],
[1624199400.0, 6.5061838960000005],
[1624285800.0, 6.5061838960000005],
[1624372200.0, 6.5061838960000005],
[1624458600.0, 6.5061838960000005],
[1624545000.0, 6.5061838960000005],
[1624631400.0, 6.5061838960000005],
[1624717800.0, 6.5061838960000005],
[1624804200.0, 6.5061838960000005],
[1624890600.0, 6.5061838960000005],
[1624977000.0, 6.5061838960000005],
[1625063400.0, 6.5061838960000005],
[1625149800.0, 6.5061838960000005],
[1625236200.0, 6.5061838960000005],
[1625322600.0, 6.5061838960000005],
[1625409000.0, 6.5061838960000005],
[1625495400.0, 6.5061838960000005],
[1625581800.0, 6.5061838960000005],
[1625668200.0, 6.5061838960000005],
[1625754600.0, 6.5061838960000005],
[1625841000.0, 6.5061838960000005],
[1625927400.0, 6.5061838960000005],
[1626013800.0, 6.5061838960000005],
[1626100200.0, 6.5061838960000005],
[1626186600.0, 6.5061838960000005],
[1626273000.0, 6.5061838960000005],
[1626359400.0, 6.5061838960000005],
[1626445800.0, 6.5061838960000005],
[1626532200.0, 6.5061838960000005],
[1626618600.0, 6.5061838960000005],
[1626705000.0, 6.5061838960000005],
[1626791400.0, 6.5061838960000005],
[1626877800.0, 6.5061838960000005],
[1626964200.0, 6.5061838960000005],
[1627050600.0, 6.5061838960000005],
[1627137000.0, 6.5061838960000005],
[1627223400.0, 6.5061838960000005],
[1627309800.0, 6.5061838960000005],
[1627396200.0, 6.5061838960000005],
[1627482600.0, 6.5061838960000005],
[1627569000.0, 6.5061838960000005],
[1627655400.0, 6.5061838960000005],
[1627741800.0, 6.5061838960000005],
[1627828200.0, 6.5061838960000005],
[1627914600.0, 6.5061838960000005],
[1628001000.0, 6.5061838960000005],
[1628087400.0, 6.5061838960000005],
[1628173800.0, 6.5061838960000005],
[1628260200.0, 6.5061838960000005],
[1628346600.0, 6.5061838960000005],
[1628433000.0, 6.5061838960000005],
[1628519400.0, 6.5061838960000005],
[1628605800.0, 6.5061838960000005],
[1628692200.0, 6.5061838960000005],
[1628778600.0, 6.5061838960000005],
[1628865000.0, 6.5061838960000005],
[1628951400.0, 6.5061838960000005],
[1629037800.0, 6.5061838960000005],
[1629124200.0, 6.5061838960000005],
[1629210600.0, 6.5061838960000005],
[1629297000.0, 2.8601764296],
[1629383400.0, 2.8601764296],
[1629469800.0, 2.8601764296],
[1629556200.0, 2.8601764296],
[1629642600.0, 2.8601764296],
[1629729000.0, 2.8601764296],
[1629815400.0, 2.8601764296],
[1629901800.0, 2.8601764296],
[1629988200.0, 2.8601764296],
[1630074600.0, 2.8601764296],
[1630161000.0, 2.8601764296],
[1630247400.0, 2.8601764296],
[1630333800.0, 2.8601764296],
[1630420200.0, 2.8601764296],
[1630506600.0, 2.8601764296],
[1630593000.0, 2.8601764296],
[1630679400.0, 2.8601764296],
[1630765800.0, 2.8601764296],
[1630852200.0, 2.8601764296],
[1630938600.0, 2.8601764296],
[1631025000.0, 2.8601764296],
[1631111400.0, 2.8601764296],
[1631197800.0, 2.8601764296],
[1631284200.0, 2.8601764296],
[1631370600.0, 2.8601764296],
[1631457000.0, 2.8601764296],
[1631543400.0, 2.8601764296],
[1631629800.0, 2.8601764296],
[1631716200.0, 2.8601764296],
[1631802600.0, 2.8601764296],
[1631889000.0, 2.8601764296],
[1631975400.0, 2.8601764296],
[1632061800.0, 2.8601764296],
[1632148200.0, 2.8601764296],
[1632234600.0, 2.7966158832],
[1632321000.0, 2.8072093076],
[1632407400.0, 2.7754290344],
[1632493800.0, 2.7860224587999998],
[1632580200.0, 2.7860224587999998],
[1632666600.0, 2.870769854],
[1632753000.0, 2.870769854],
[1632839400.0, 2.76483561],
[1632925800.0, 2.7436487612000002],
[1633012200.0, 2.7436487612000002],
[1633098600.0, 2.7436487612000002],
[1633185000.0, 2.817802732],
[1633267800.0, 2.817802732],
[1633354200.0, 2.7436487612000002],
[1633440600.0, 2.8072093076],
[1633527000.0, 2.8072093076],
[1633613400.0, 2.8072093076],
[1633699800.0, 2.8072093076],
[1633786200.0, 2.817802732],
[1633872600.0, 2.8072093076],
[1633959000.0, 2.8072093076],
[1634045400.0, 2.8072093076],
[1634131800.0, 2.8072093076],
[1634218200.0, 2.817802732],
[1634304600.0, 2.8072093076],
[1634391000.0, 2.8072093076],
[1634477400.0, 2.7542421856],
[1634563800.0, 2.8072093076],
[1634650200.0, 2.8072093076],
[1634736600.0, 2.8072093076],
[1634823000.0, 2.8072093076],
[1634909400.0, 2.76483561],
[1634995800.0, 2.7860224587999998],
[1635082200.0, 2.76483561],
[1635168600.0, 2.76483561],
[1635255000.0, 2.7436487612000002],
[1635341400.0, 2.7754290344],
[1635427800.0, 2.7860224587999998],
[1635514200.0, 2.7754290344],
[1635600600.0, 2.76483561],
[1635687000.0, 2.76483561],
[1635773400.0, 2.7754290344],
[1635859800.0, 2.7966158832],
[1635946200.0, 2.8072093076],
[1636032600.0, 2.8072093076],
[1636119000.0, 2.817802732],
[1636205400.0, 2.817802732],
[1636291800.0, 2.817802732],
[1636378200.0, 2.817802732],
[1636464600.0, 2.817802732],
[1636551000.0, 2.817802732],
[1636637400.0, 2.8072093076],
[1636723800.0, 2.7966158832],
[1636810200.0, 2.8283961564],
[1636896600.0, 2.7754290344],
[1636983000.0, 2.8495830052],
[1637069400.0, 2.8283961564],
[1637155800.0, 2.8601764296],
[1637242200.0, 2.870769854],
[1637328600.0, 2.817802732],
[1637415000.0, 2.9025501272],
[1637501400.0, 2.9343304004],
[1637587800.0, 2.8389895808],
[1637674200.0, 2.9343304004],
[1637760600.0, 2.870769854],
[1637847000.0, 2.8813632784],
[1637933400.0, 3.02967122],
[1638019800.0, 3.02967122],
[1638106200.0, 3.02967122],
[1638192600.0, 2.8283961564],
[1638279000.0, 2.9025501272],
[1638365400.0, 2.8601764296],
[1638451800.0, 2.9872975224],
[1638538200.0, 2.9872975224],
[1638624600.0, 3.0190777956],
[1638711000.0, 2.9555172492],
[1638797400.0, 2.9978909468],
[1638883800.0, 2.9978909468],
[1638970200.0, 3.0084843712],
[1639056600.0, 2.9872975224],
[1639143000.0, 2.9872975224],
[1639229400.0, 2.870769854],
[1639315800.0, 2.8919567028],
[1639402200.0, 2.9343304004],
[1639488600.0, 2.9872975224],
[1639575000.0, 2.8813632784],
[1639661400.0, 2.923736976],
[1639747800.0, 2.8919567028],
[1639834200.0, 2.923736976],
[1639920600.0, 2.9025501272],
[1640007000.0, 2.8919567028],
[1640093400.0, 2.8813632784],
[1640179800.0, 2.9025501272],
[1640266200.0, 2.9025501272],
[1640352600.0, 2.923736976],
[1640439000.0, 2.923736976],
[1640525400.0, 2.9555172492],
[1640611800.0, 2.9343304004],
[1640698200.0, 2.9449238248],
[1640784600.0, 2.9449238248],
[1640871000.0, 2.9555172492],
[1640957400.0, 2.9661106736000002],
[1641043800.0, 2.976704098],
[1641130200.0, 2.9449238248],
[1641216600.0, 3.0084843712],
[1641303000.0, 3.0190777956],
[1641389400.0, 3.0190777956],
[1641475800.0, 3.0084843712],
[1641562200.0, 3.0084843712],
[1641648600.0, 3.0190777956],
[1641735000.0, 3.0190777956],
[1641821400.0, 3.082638342],
[1641907800.0, 3.1038251908000003],
[1641994200.0, 3.1144186152],
[1642080600.0, 3.1144186152],
[1642167000.0, 3.0932317663999997],
[1642253400.0, 3.0932317663999997],
[1642339800.0, 3.0932317663999997],
[1642426200.0, 3.0932317663999997],
[1642512600.0, 3.082638342],
[1642599000.0, 3.0932317663999997],
[1642685400.0, 3.0720449176],
[1642771800.0, 3.0720449176],
[1642858200.0, 3.0720449176],
[1642944600.0, 3.0614514932],
[1643031000.0, 3.0614514932],
[1643117400.0, 3.0614514932],
[1643203800.0, 3.0508580688],
[1643290200.0, 3.0508580688],
[1643376600.0, 3.0614514932],
[1643463000.0, 3.0614514932],
[1643549400.0, 3.0614514932],
[1643635800.0, 3.0614514932],
[1643722200.0, 3.0614514932],
[1643808600.0, 3.0508580688],
[1643895000.0, 3.02967122],
[1643981400.0, 3.0508580688],
[1644067800.0, 3.02967122],
[1644154200.0, 3.02967122],
[1644240600.0, 3.0508580688],
[1644327000.0, 3.0508580688],
[1644413400.0, 3.0508580688],
[1644499800.0, 3.0614514932],
[1644586200.0, 3.0614514932],
[1644672600.0, 3.0508580688],
[1644759000.0, 3.0402646444],
[1644845400.0, 3.0402646444],
[1644931800.0, 3.0402646444],
[1645018200.0, 3.0402646444],
[1645104600.0, 3.0402646444],
[1645191000.0, 2.9978909468],
[1645277400.0, 3.0402646444],
[1645363800.0, 3.0402646444],
[1645450200.0, 3.0508580688],
[1645536600.0, 3.0614514932],
[1645623000.0, 3.02967122],
[1645709400.0, 3.02967122],
[1645795800.0, 3.02967122],
[1645882200.0, 3.0402646444],
[1645968600.0, 3.0614514932],
[1646055000.0, 3.0614514932],
[1646141400.0, 3.0614514932],
[1646227800.0, 3.0614514932],
[1646314200.0, 3.0614514932],
[1646400600.0, 3.082638342],
[1646487000.0, 3.1250120396],
[1646573400.0, 3.1250120396],
[1646659800.0, 3.1250120396],
[1646746200.0, 3.1250120396],
[1646832600.0, 3.1250120396],
[1646919000.0, 3.1144186152],
[1647005400.0, 3.1038251908000003],
[1647091800.0, 3.1038251908000003],
[1647178200.0, 3.1144186152],
[1647264600.0, 3.1038251908000003],
[1647351000.0, 3.1144186152],
[1647437400.0, 3.1461988884],
[1647523800.0, 3.1673857372],
[1647610200.0, 3.1673857372],
[1647696600.0, 3.1779791616],
[1647783000.0, 3.2309462836],
[1647869400.0, 3.2203528592],
[1647955800.0, 3.241539708],
[1648042200.0, 3.2627265568],
[1648128600.0, 3.2309462836],
[1648215000.0, 3.2627265568],
[1648301400.0, 3.2839134056],
[1648387800.0, 3.2309462836],
[1648474200.0, 3.2309462836],
[1648560600.0, 3.2733199812000002],
[1648647000.0, 3.2203528592],
[1648733400.0, 3.2309462836],
[1648819800.0, 3.2733199812000002],
[1648906200.0, 3.2309462836],
[1648996200.0, 3.3262871032000003],
[1649082600.0, 3.29450683],
[1649169000.0, 3.2839134056],
[1649255400.0, 3.29450683],
[1649341800.0, 3.2839134056],
[1649428200.0, 3.400441074],
[1649514600.0, 3.3156936787999998],
[1649601000.0, 3.3792542252],
[1649687400.0, 3.3156936787999998],
[1649773800.0, 3.3156936787999998],
[1649860200.0, 3.3368805276],
[1649946600.0, 3.347473952],
[1650033000.0, 3.3898476496],
[1650119400.0, 3.3792542252],
[1650205800.0, 3.3156936787999998],
[1650292200.0, 3.3368805276],
[1650378600.0, 3.3368805276],
[1650465000.0, 3.347473952],
[1650551400.0, 3.347473952],
[1650637800.0, 3.347473952],
[1650724200.0, 3.347473952],
[1650810600.0, 3.3686608008],
[1650897000.0, 3.3686608008],
[1650983400.0, 3.3262871032000003],
[1651069800.0, 3.3686608008],
[1651156200.0, 3.3792542252],
