[[1578144600, 0.26],
[1578231000, 0.29],
[1578317400, 0.29],
[1578403800, 0.3],
[1578490200, 0.29],
[1578576600, 0.31],
[1578663000, 0.31],
[1578749400, 0.31],
[1578835800, 0.31],
[1578922200, 0.31],
[1579008600, 0.32],
[1579095000, 0.32],
[1579181400, 0.31],
[1579267800, 0.33],
[1579354200, 0.33],
[1579440600, 0.33],
[1579527000, 0.33],
[1579613400, 0.33],
[1579699800, 0.33],
[1579786200, 0.33],
[1579872600, 0.33],
[1579959000, 0.3],
[1580045400, 0.32],
[1580131800, 0.31],
[1580218200, 0.31],
[1580304600, 0.31],
[1580391000, 0.32],
[1580477400, 0.32],
[1580563800, 0.33],
[1580650200, 0.33],
[1580736600, 0.33],
[1580823000, 0.33],
[1580909400, 0.34],
[1580995800, 0.33],
[1581082200, 0.34],
[1581168600, 0.34],
[1581255000, 0.35],
[1581341400, 0.35],
[1581427800, 0.35],
[1581514200, 0.35],
[1581600600, 0.35],
[1581687000, 0.35],
[1581773400, 0.35],
[1581859800, 0.35],
[1581946200, 0.35],
[1582032600, 0.34],
[1582119000, 0.35],
[1582205400, 0.36],
[1582291800, 0.35],
[1582378200, 0.36],
[1582464600, 0.35],
[1582551000, 0.35],
[1582637400, 0.36],
[1582723800, 0.34],
[1582810200, 0.34],
[1582896600, 0.34],
[1582983000, 0.35],
[1583069400, 0.35],
[1583155800, 0.35],
[1583242200, 0.35],
[1583328600, 0.35],
[1583415000, 0.35],
[1583501400, 0.35],
[1583587800, 0.35],
[1583674200, 0.37],
[1583760600, 0.35],
[1583847000, 0.37],
[1583933400, 0.35],
[1584019800, 0.36],
[1584106200, 0.35],
[1584192600, 0.35],
[1584279000, 0.35],
[1584365400, 0.35],
[1584451800, 0.35],
[1584538200, 0.33],
[1584624600, 0.33],
[1584711000, 0.33],
[1584797400, 0.32],
[1584883800, 0.34],
[1584970200, 0.32],
[1585056600, 0.32],
[1585143000, 0.31],
[1585229400, 0.31],
[1585315800, 0.31],
[1585402200, 0.31],
[1585488600, 0.32],
[1585575000, 0.33],
[1585661400, 0.31],
[1585747800, 0.31],
[1585834200, 0.3],
[1585920600, 0.3],
[1586007000, 0.31],
[1586097000, 0.32],
[1586183400, 0.32],
[1586269800, 0.32],
[1586356200, 0.33],
[1586442600, 0.35],
[1586529000, 0.36],
[1586615400, 0.36],
[1586701800, 0.36],
[1586788200, 0.37],
[1586874600, 0.38],
[1586961000, 0.4],
[1587047400, 0.39],
[1587133800, 0.39],
[1587220200, 0.4],
[1587306600, 0.4],
[1587393000, 0.4],
[1587479400, 0.41],
[1587565800, 0.42],
[1587652200, 0.4],
[1587738600, 0.4],
[1587825000, 0.4],
[1587911400, 0.39],
[1587997800, 0.39],
[1588084200, 0.38],
[1588170600, 0.38],
[1588257000, 0.39],
[1588343400, 0.39],
[1588429800, 0.39],
[1588516200, 0.39],
[1588602600, 0.39],
[1588689000, 0.41],
[1588775400, 0.4],
[1588861800, 0.4],
[1588948200, 0.4],
[1589034600, 0.4],
[1589121000, 0.4],
[1589207400, 0.41],
[1589293800, 0.41],
[1589380200, 0.42],
[1589466600, 0.43],
[1589553000, 0.42],
[1589639400, 0.42],
[1589725800, 0.42],
[1589812200, 0.42],
[1589898600, 0.43],
[1589985000, 0.44],
[1590071400, 0.44],
[1590157800, 0.43],
[1590244200, 0.43],
[1590330600, 0.44],
[1590417000, 0.43],
[1590503400, 0.42],
[1590589800, 0.43],
[1590676200, 0.42],
[1590762600, 0.43],
[1590849000, 0.42],
[1590935400, 0.42],
[1591021800, 0.42],
[1591108200, 0.43],
[1591194600, 0.44],
[1591281000, 0.44],
[1591367400, 0.44],
[1591453800, 0.45],
[1591540200, 0.45],
[1591626600, 0.46],
[1591713000, 0.45],
[1591799400, 0.44],
[1591885800, 0.44],
[1591972200, 0.45],
[1592058600, 0.44],
[1592145000, 0.44],
[1592231400, 0.45],
[1592317800, 0.46],
[1592404200, 0.45],
[1592490600, 0.44],
[1592577000, 0.44],
[1592663400, 0.45],
[1592749800, 0.45],
[1592836200, 0.45],
[1592922600, 0.45],
[1593009000, 0.45],
[1593095400, 0.44],
[1593181800, 0.39],
[1593268200, 0.4],
[1593354600, 0.39],
[1593441000, 0.39],
[1593527400, 0.39],
[1593613800, 0.39],
[1593700200, 0.39],
[1593786600, 0.39],
[1593873000, 0.41],
[1593959400, 0.41],
[1594045800, 0.41],
[1594132200, 0.4],
[1594218600, 0.42],
[1594305000, 0.41],
[1594391400, 0.43],
[1594477800, 0.44],
[1594564200, 0.44],
[1594650600, 0.45],
[1594737000, 0.46],
[1594823400, 0.46],
[1594909800, 0.45],
[1594996200, 0.47],
[1595082600, 0.49],
[1595169000, 0.49],
[1595255400, 0.49],
[1595341800, 0.49],
[1595428200, 0.49],
[1595514600, 0.5],
[1595601000, 0.5],
[1595687400, 0.5],
[1595773800, 0.51],
[1595860200, 0.49],
[1595946600, 0.5],
[1596033000, 0.51],
[1596119400, 0.51],
[1596205800, 0.53],
[1596292200, 0.52],
[1596378600, 0.52],
[1596465000, 0.53],
[1596551400, 0.53],
[1596637800, 0.55],
[1596724200, 0.54],
[1596810600, 0.52],
[1596897000, 0.53],
[1596983400, 0.53],
[1597069800, 0.53],
[1597156200, 0.53],
[1597242600, 0.53],
[1597329000, 0.53],
[1597415400, 0.53],
[1597501800, 0.53],
[1597588200, 0.53],
[1597674600, 0.53],
[1597761000, 0.53],
[1597847400, 0.53],
[1597933800, 0.53],
[1598020200, 0.53],
[1598106600, 0.53],
[1598193000, 0.53],
[1598279400, 0.53],
[1598365800, 0.53],
[1598452200, 0.53],
[1598538600, 0.53],
[1598625000, 0.53],
[1598711400, 0.53],
[1598797800, 0.53],
[1598884200, 0.53],
[1598970600, 0.53],
[1599057000, 0.53],
[1599143400, 0.53],
[1599229800, 0.53],
[1599316200, 0.53],
[1599402600, 0.53],
[1599489000, 0.53],
[1599575400, 0.53],
[1599661800, 0.53],
[1599748200, 0.53],
[1599834600, 0.53],
[1599921000, 0.53],
[1600007400, 0.53],
[1600093800, 0.53],
[1600180200, 0.53],
[1600266600, 0.53],
[1600353000, 0.53],
[1600439400, 0.53],
[1600525800, 0.53],
[1600612200, 0.53],
[1600698600, 0.53],
[1600785000, 0.53],
[1600871400, 0.53],
[1600957800, 0.53],
[1601044200, 0.53],
[1601130600, 0.53],
[1601217000, 0.53],
[1601303400, 0.53],
[1601389800, 0.53],
[1601476200, 0.53],
[1601562600, 0.53],
[1601649000, 0.53],
[1601735400, 0.53],
[1601818200, 0.53],
[1601904600, 0.53],
[1601991000, 0.53],
[1602077400, 0.53],
[1602163800, 0.53],
[1602250200, 0.53],
[1602336600, 0.53],
[1602423000, 0.53],
[1602509400, 0.53],
[1602595800, 0.53],
[1602682200, 0.53],
[1602768600, 0.53],
[1602855000, 0.53],
[1602941400, 0.53],
[1603027800, 0.53],
[1603114200, 0.53],
[1603200600, 0.53],
[1603287000, 0.53],
[1603373400, 0.53],
[1603459800, 0.53],
[1603546200, 0.53],
[1603632600, 0.53],
[1603719000, 0.53],
[1603805400, 0.53],
[1603891800, 0.53],
[1603978200, 0.53],
[1604064600, 0.53],
[1604151000, 0.53],
[1604237400, 0.53],
[1604323800, 0.55],
[1604410200, 0.53],
[1604496600, 0.53],
[1604583000, 0.53],
[1604669400, 0.53],
[1604755800, 0.54],
[1604842200, 0.52],
[1604928600, 0.55],
[1605015000, 0.53],
[1605101400, 0.56],
[1605187800, 0.58],
[1605274200, 0.56],
[1605360600, 0.57],
[1605447000, 0.57],
[1605533400, 0.61],
[1605619800, 0.56],
[1605706200, 0.51],
[1605792600, 0.54],
[1605879000, 0.57],
[1605965400, 0.58],
[1606051800, 0.56],
[1606138200, 0.58],
[1606224600, 0.6],
[1606311000, 0.57],
[1606397400, 0.58],
[1606483800, 0.54],
[1606570200, 0.54],
[1606656600, 0.55],
[1606743000, 0.53],
[1606829400, 0.51],
[1606915800, 0.52],
[1607002200, 0.5],
[1607088600, 0.47],
[1607175000, 0.47],
[1607261400, 0.47],
[1607347800, 0.47],
[1607434200, 0.48],
[1607520600, 0.48],
[1607607000, 0.49],
[1607693400, 0.49],
[1607779800, 0.47],
[1607866200, 0.48],
[1607952600, 0.48],
[1608039000, 0.48],
[1608125400, 0.5],
[1608211800, 0.5],
[1608298200, 0.51],
[1608384600, 0.52],
[1608471000, 0.51],
[1608557400, 0.53],
[1608643800, 0.53],
[1608730200, 0.53],
[1608816600, 0.52],
[1608903000, 0.54],
[1608989400, 0.53],
[1609075800, 0.53],
[1609162200, 0.56],
[1609248600, 0.56],
[1609335000, 0.56],
[1609421400, 0.55],
[1609507800, 0.56],
[1609594200, 0.57],
[1609680600, 0.55],
[1609767000, 0.54],
[1609853400, 0.55],
[1609939800, 0.55],
[1610026200, 0.55],
[1610112600, 0.59],
[1610199000, 0.6],
[1610285400, 0.61],
[1610371800, 0.61],
[1610458200, 0.6],
[1610544600, 0.64],
[1610631000, 0.65],
[1610717400, 0.65],
[1610803800, 0.65],
[1610890200, 0.65],
[1610976600, 0.65],
[1611063000, 0.65],
[1611149400, 0.65],
[1611235800, 0.65],
[1611322200, 0.65],
[1611408600, 0.65],
[1611495000, 0.65],
[1611581400, 0.65],
[1611667800, 0.65],
[1611754200, 0.65],
[1611840600, 0.65],
[1611927000, 0.65],
[1612013400, 0.65],
[1612099800, 0.65],
[1612186200, 0.65],
[1612272600, 0.65],
[1612359000, 0.65],
[1612445400, 0.65],
[1612531800, 0.65],
[1612618200, 0.65],
[1612704600, 0.65],
[1612791000, 0.65],
[1612877400, 0.65],
[1612963800, 0.65],
[1613050200, 0.65],
[1613136600, 0.65],
[1613223000, 0.65],
[1613309400, 0.59],
[1613395800, 0.6],
[1613482200, 0.58],
[1613568600, 0.58],
[1613655000, 0.61],
[1613741400, 0.6],
[1613827800, 0.59],
[1613914200, 0.6],
[1614000600, 0.61],
[1614087000, 0.61],
[1614173400, 0.64],
[1614259800, 0.67],
[1614346200, 0.67],
[1614432600, 0.67],
[1614519000, 0.68],
[1614605400, 0.68],
[1614691800, 0.67],
[1614778200, 0.7],
[1614864600, 0.72],
[1614951000, 0.73],
[1615037400, 0.73],
[1615123800, 0.71],
[1615210200, 0.73],
[1615296600, 0.72],
