[[1635341400, 3.45],
[1635427800, 3.32],
[1635514200, 3.63],
[1635600600, 3.41],
[1635687000, 3.47],
[1635773400, 3.44],
[1635859800, 3.37],
[1635946200, 3.43],
[1636032600, 3.41],
[1636119000, 3.19],
[1636205400, 3.18],
[1636291800, 3.33],
[1636378200, 3.34],
[1636464600, 3.33],
[1636551000, 3.22],
[1636637400, 3.17],
[1636723800, 3.23],
[1636810200, 3.24],
[1636896600, 3.53],
[1636983000, 3.32],
[1637069400, 3.34],
[1637155800, 3.61],
[1637242200, 3.48],
[1637328600, 3.34],
[1637415000, 3.44],
[1637501400, 3.4],
[1637587800, 3.19],
[1637674200, 3.24],
[1637760600, 3.09],
[1637847000, 3.18],
[1637933400, 3.16],
[1638019800, 3.1],
[1638106200, 3.26],
[1638192600, 3.04],
[1638279000, 3.04],
[1638365400, 3.24],
[1638451800, 3.08],
[1638538200, 3.05],
[1638624600, 3.19],
[1638711000, 3.18],
[1638797400, 2.87],
[1638883800, 3.03],
[1638970200, 3.15],
[1639056600, 3.08],
[1639143000, 3.15],
[1639229400, 3.32],
[1639315800, 3.11],
[1639402200, 3.04],
[1639488600, 3.14],
[1639575000, 3.29],
[1639661400, 3.3],
[1639747800, 3.3],
[1639834200, 3.07],
[1639920600, 3.11],
[1640007000, 3.23],
[1640093400, 3.23],
[1640179800, 3.14],
[1640266200, 3.03],
[1640352600, 2.93],
[1640439000, 3.15],
[1640525400, 3.11],
[1640611800, 3.11],
[1640698200, 3.21],
[1640784600, 3.59],
[1640871000, 3.68],
[1640957400, 3.79],
[1641043800, 3.72],
[1641130200, 3.59],
[1641216600, 3.41],
[1641303000, 3.63],
[1641389400, 3.25],
[1641475800, 3.12],
[1641562200, 3.53],
[1641648600, 3.56],
[1641735000, 3.45],
[1641821400, 3.96],
[1641907800, 3.9],
[1641994200, 3.7],
[1642080600, 3.87],
[1642167000, 4.11],
[1642253400, 4.17],
[1642339800, 3.35],
[1642426200, 3.88],
[1642512600, 3.5],
[1642599000, 3.81],
[1642685400, 4.27],
[1642771800, 4.18],
[1642858200, 3.8],
[1642944600, 3.82],
[1643031000, 3.79],
[1643117400, 3.78],
[1643203800, 3.7],
[1643290200, 3.43],
[1643376600, 3.49],
[1643463000, 3.64],
[1643549400, 3.26],
[1643635800, 3.26],
[1643722200, 3.26],
[1643808600, 3.42],
[1643895000, 3.48],
[1643981400, 3.49],
[1644067800, 3.29],
[1644154200, 3.39],
[1644240600, 3.33],
[1644327000, 3.36],
[1644413400, 3.46],
[1644499800, 3.19],
[1644586200, 3.49],
[1644672600, 3.45],
[1644759000, 3.66],
[1644845400, 3.44],
[1644931800, 3.39],
[1645018200, 3.44],
[1645104600, 3.47],
[1645191000, 3.63],
[1645277400, 3.34],
[1645363800, 3.28],
[1645450200, 3.19],
[1645536600, 3.16],
[1645623000, 3.33],
[1645709400, 3.05],
[1645795800, 2.98],
[1645882200, 2.89],
[1645968600, 2.83],
[1646055000, 2.73],
[1646141400, 2.71],
[1646227800, 2.67],
[1646314200, 2.66],
[1646400600, 2.66],
[1646487000, 2.66],
[1646573400, 2.69],
[1646659800, 2.7],
[1646746200, 2.55],
[1646832600, 2.62],
[1646919000, 2.7],
[1647005400, 2.54],
[1647091800, 2.58],
[1647178200, 2.62],
[1647264600, 2.65],
[1647351000, 2.74],
[1647437400, 2.83],
[1647523800, 2.83],
[1647610200, 2.86],
[1647696600, 2.8],
